label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Articulos de Jardin,583,1507,64,123,Articulos de Jardin (1).avif,1335,2000
Articulos de Jardin,281,133,542,386,Articulos de Jardin (1).jpeg,980,560
Articulos de Jardin,180,102,287,357,Articulos de Jardin (1).jpg,640,480
Articulos de Jardin,615,378,408,567,Articulos de Jardin (1).png,1080,1080
Articulos de Jardin,309,287,314,1298,Articulos de Jardin (1).webp,2000,2000
Articulos de Jardin,802,260,334,1362,Articulos de Jardin (1).webp,2000,2000
Articulos de Jardin,1279,334,461,1261,Articulos de Jardin (1).webp,2000,2000
Articulos de Jardin,4,25,200,300,Articulos de Jardin (10).jpg,216,480
Articulos de Jardin,85,14,134,198,Articulos de Jardin (10).webp,320,240
Articulos de Jardin,11,7,572,481,Articulos de Jardin (11).jpg,600,505
Articulos de Jardin,23,83,274,464,Articulos de Jardin (11).webp,320,676
Articulos de Jardin,0,3,523,679,Articulos de Jardin (12).jpg,850,700
Articulos de Jardin,106,92,358,279,Articulos de Jardin (12).webp,512,410
Articulos de Jardin,0,67,300,309,Articulos de Jardin (13).jpg,600,500
Articulos de Jardin,387,144,118,205,Articulos de Jardin (13).jpg,600,500
Articulos de Jardin,503,124,97,148,Articulos de Jardin (13).jpg,600,500
Articulos de Jardin,307,69,90,49,Articulos de Jardin (13).jpg,600,500
Articulos de Jardin,484,27,114,87,Articulos de Jardin (13).jpg,600,500
Articulos de Jardin,2608,741,426,1274,Articulos de Jardin (13).webp,3840,2156
Articulos de Jardin,1264,319,287,858,Articulos de Jardin (13).webp,3840,2156
Articulos de Jardin,409,29,277,706,Articulos de Jardin (13).webp,3840,2156
Articulos de Jardin,482,144,205,292,Articulos de Jardin (14).jpg,800,450
Articulos de Jardin,244,205,648,649,Articulos de Jardin (14).webp,1080,1080
Articulos de Jardin,632,987,177,636,Articulos de Jardin (15).jpg,2508,1672
Articulos de Jardin,323,288,101,93,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,427,269,99,119,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,288,406,119,121,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,408,415,127,135,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,316,585,193,115,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,225,17,398,770,Articulos de Jardin (15).webp,800,800
Articulos de Jardin,0,7,624,373,Articulos de Jardin (16).jpg,640,400
Articulos de Jardin,262,120,285,170,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,256,336,104,112,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,350,314,84,133,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,428,328,91,116,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,261,515,84,79,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,434,501,81,97,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,319,457,133,137,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,254,655,122,90,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,370,602,143,136,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,210,13,365,773,Articulos de Jardin (16).webp,800,800
Articulos de Jardin,0,0,573,456,Articulos de Jardin (17).jpg,600,600
Articulos de Jardin,243,365,676,800,Articulos de Jardin (17).webp,1000,1200
Articulos de Jardin,365,660,222,365,Articulos de Jardin (17).webp,1000,1200
Articulos de Jardin,589,629,252,355,Articulos de Jardin (17).webp,1000,1200
Articulos de Jardin,23,79,940,859,Articulos de Jardin (18).jpg,1000,1000
Articulos de Jardin,408,143,330,463,Articulos de Jardin (18).webp,800,800
Articulos de Jardin,14,138,336,473,Articulos de Jardin (18).webp,800,800
Articulos de Jardin,27,31,1423,1152,Articulos de Jardin (19).jpg,1464,1194
Articulos de Jardin,83,203,253,340,Articulos de Jardin (19).webp,800,800
Articulos de Jardin,423,202,264,363,Articulos de Jardin (19).webp,800,800
Articulos de Jardin,52,58,452,280,Articulos de Jardin (2).avif,626,417
Articulos de Jardin,409,276,79,295,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,338,204,66,213,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,274,143,59,181,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,207,101,55,188,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,155,68,48,180,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,99,43,47,162,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,38,14,44,153,Articulos de Jardin (2).jpeg,612,612
Articulos de Jardin,387,314,673,817,Articulos de Jardin (2).jpg,1200,1200
Articulos de Jardin,22,17,453,319,Articulos de Jardin (2).png,500,352
Articulos de Jardin,37,225,255,246,Articulos de Jardin (2).webp,610,610
Articulos de Jardin,23,39,180,164,Articulos de Jardin (20).jpg,229,220
Articulos de Jardin,216,13,256,666,Articulos de Jardin (20).webp,700,700
Articulos de Jardin,39,211,292,320,Articulos de Jardin (21).jpg,600,600
Articulos de Jardin,340,383,174,154,Articulos de Jardin (21).jpg,600,600
Articulos de Jardin,41,71,619,409,Articulos de Jardin (22).jpg,720,480
Articulos de Jardin,78,276,183,363,Articulos de Jardin (23).jpg,800,800
